[2026-06-10T12:47:11.778Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/index.html → 200 (1ms, 90844B)
[2026-06-10T12:47:11.781Z] GET https://fonts.googleapis.com/css2?family=Inter+Tight:wght@400;500;600;700&family=Inter:wght@400;500;600&family=Source+Serif+4:ital,opsz,wght@0,8..60,400;0,8..60,500;1,8..60,400&family=JetBrains+Mono:wght@400;500&display=swap → pending (?ms, ?B)
[2026-06-10T12:47:11.781Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/wordmark-light.png → 200 (2ms, 5674B)
[2026-06-10T12:47:11.781Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/hero-runner/hero03-bg-plane.png → 200 (2ms, 2507601B)
[2026-06-10T12:47:11.782Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/hero-runner/hero03-mid-blocks-plane.png → 200 (1ms, 97159B)
[2026-06-10T12:47:11.782Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/hero-runner/hero03-subject-plane.png → 200 (2ms, 766360B)
[2026-06-10T12:47:11.782Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/hero-runner/hero03-anchor-block-plane.png → 200 (2ms, 469557B)
[2026-06-10T12:47:15.494Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → pending (?ms, ?B)
[2026-06-10T12:47:15.494Z] GET https://fonts.gstatic.com/s/intertight/v9/NGSwv5HMAFg6IuGlBNMjxLsH8ahuQ2e8.woff2 → pending (?ms, ?B)
[2026-06-10T12:47:15.494Z] GET https://fonts.gstatic.com/s/sourceserif4/v14/vEFI2_tTDB4M7-auWDN0ahZJW1gb8te1Xb7G.woff2 → pending (?ms, ?B)
[2026-06-10T12:47:15.494Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → pending (?ms, ?B)
[2026-06-10T12:47:15.499Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/hero-surfer/hero02-bg-plane.png → 200 (?ms, 1396217B)
[2026-06-10T12:47:15.499Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/hero-surfer/hero02-subject-plane.png → 200 (1ms, 291509B)
[2026-06-10T12:47:15.499Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/hero-surfer/hero02-anchor-block-plane.png → 200 (1ms, 515991B)
[2026-06-10T12:47:23.635Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/hero-surfer/hero02-mid-blocks-plane.png → 200 (1ms, 566663B)
[2026-06-10T12:47:49.071Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/signals/advanced-labs-cutout.png → 200 (1ms, 536084B)
[2026-06-10T12:47:49.071Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/signals/genetics-cutout.png → 200 (1ms, 1103750B)
[2026-06-10T12:47:49.071Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/signals/imaging-cutout.png → 200 (2ms, 501744B)
[2026-06-10T12:47:49.080Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/signals/wearables-cutout.png → 200 (1ms, 970283B)
[2026-06-10T12:48:34.780Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/photos/exp-01-onboarding.jpg → 200 (1ms, 321039B)
[2026-06-10T12:48:34.780Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/photos/exp-02-genetics.jpg → 200 (1ms, 265175B)
[2026-06-10T12:48:34.780Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/photos/exp-03-bloodwork-location.jpg → 200 (1ms, 187528B)
[2026-06-10T12:48:34.780Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/photos/exp-03-bloodwork-athome.jpg → 200 (1ms, 209263B)
[2026-06-10T12:48:34.780Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/photos/exp-04-consult.jpg → 200 (1ms, 381045B)
[2026-06-10T12:48:34.780Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-b/assets/photos/exp-04-async.jpg → 200 (2ms, 203339B)
